확장 대상 192개사, 최근 [2024, 2025] 개년만
  30121 자동차 제조업(완성차): 2개사
  303 자동차 부품 제조업: 91개사
  212 완제 의약품 제조업: 99개사
[스킵] 오리엔트바이오 FY2025: 사업보고서(12월 결산) 없음
[적재] 오스코텍 FY2024: KAM 섹션 850자
[적재] 오스코텍 FY2025: KAM 섹션 837자
[적재] 옵투스제약 FY2024: KAM 섹션 603자
[적재] 옵투스제약 FY2025: KAM 섹션 612자
[적재] 위더스제약 FY2024: KAM 섹션 622자
[적재] 위더스제약 FY2025: KAM 섹션 621자
[적재] 유나이티드 FY2024: KAM 섹션 849자
[적재] 유나이티드 FY2025: KAM 섹션 858자
[적재-KAM없음] 유바이오로직스 FY2024: 핵심감사사항 섹션 못 찾음
[적재] 유바이오로직스 FY2025: KAM 섹션 871자
[적재] 유유제약 FY2024: KAM 섹션 857자
[적재] 유유제약 FY2025: KAM 섹션 723자
[적재] 유한양행 FY2024: KAM 섹션 791자
[적재] 유한양행 FY2025: KAM 섹션 887자
[적재] 이연제약 FY2024: KAM 섹션 651자
[적재] 이연제약 FY2025: KAM 섹션 671자
[적재] 일동제약 FY2024: KAM 섹션 772자
[적재] 일동제약 FY2025: KAM 섹션 767자
[적재] 일동홀딩스 FY2024: KAM 섹션 1609자
[적재] 일동홀딩스 FY2025: KAM 섹션 1439자
[스킵] 일성아이에스 FY2024: 사업보고서(12월 결산) 없음
[적재] 일성아이에스 FY2025: KAM 섹션 618자
[적재] 일양약품 FY2024: KAM 섹션 1054자
[적재] 일양약품 FY2025: KAM 섹션 1590자
[적재] 제일약품 FY2024: KAM 섹션 912자
[적재] 제일약품 FY2025: KAM 섹션 901자
[적재] 조아제약 FY2024: KAM 섹션 983자
[적재] 조아제약 FY2025: KAM 섹션 997자
[적재] 종근당 FY2024: KAM 섹션 775자
[적재] 종근당 FY2025: KAM 섹션 786자
[적재] 종근당바이오 FY2024: KAM 섹션 769자
[적재] 종근당바이오 FY2025: KAM 섹션 883자
[적재] 종근당홀딩스 FY2024: KAM 섹션 793자
[적재] 종근당홀딩스 FY2025: KAM 섹션 789자
[스킵] 진양제약 FY2024: 사업보고서(12월 결산) 없음
[적재] 진양제약 FY2025: KAM 섹션 1095자
[적재] 진원생명과학 FY2024: KAM 섹션 584자
[적재] 진원생명과학 FY2025: KAM 섹션 637자
[스킵] 카이바이오텍 FY2024: 사업보고서(12월 결산) 없음
[스킵] 카이바이오텍 FY2025: 사업보고서(12월 결산) 없음
